prompts,answers,Response,pred_answer,Correct
"QUESTION13) 등록금에 관한 조항으로 올바르지 않은 것은?
(A) 총장은 등록금심의위원회의 구성 및 운영에 관한 사항을 정한다.
(B) 등록기간 만료 전에 휴학원을 제출하여 허가를 얻은 자는 당해 휴학기간의 등록금이 면제된다.
(C) 등록금이 과오납된 경우에는 금액을 반환할 수 없다.
(D) 학생은 매학기 등록시 등록금을 납부하여야 한다.",(C),"(C) 등록금이 과오납된 경우에는 금액을 반환할 수 없다.

해설:
문제가 요구하는 잘못된 등록금 조항은 (C) 등록금이 과오납된 경우에는 금액을 반환할 수 없다. 그러나, 문맥에서 제공된 정보에 따르면, 제62조(등록금의 반환) ①에 따르면 등록금이 과오납된 경우에는 그 금액을 전액 반환한다고 명시되어 있습니다. 이는 (C)가 잘못된 등록금 조항임을 의미합니다.",C,True
"QUESTION14) 전공과목은 어떻게 구분되는가?
(A) 전공기초과목과 전공과목
(B) 총장이 따로 정한다
(C) 필수과목과 선택과목
(D) 구분하지 않는다",(C),(C) 필수과목과 선택과목,C,True
"QUESTION15) 학칙개정에 관한 설명으로 옳지 않은 것은?
(A) 학칙 개정과 대학평의원회는 무관하다.
(B) 학칙 개정이 이루어지기 전에, 사전공고를 거쳐야 한다.
(C) 학칙의 개정은 총장이 행한다.
(D) 학칙개정은 교무회의의 심의를 거친다.",(A),"(A) 학칙 개정과 대학평의원회는 무관하다.

해당 문맥에 따르면, 학칙 개정에는 대학평의원회의 심의를 거쳐야 한다고 명시되어 있습니다. 따라서, 학칙 개정과 대학평의원회는 무관하다는 선택지 (A)가 학칙 개정에 관한 설명으로 옳지 않은 것입니다.",A,True
"QUESTION16)계절학기에 취득할 수 있는 최대 학점은 몇 점입니까?
(A) 3학점
(B) 6학점
(C) 9학점
(D) 12학점",(B),(B) 6학점,B,True
"QUESTION17)졸업하기 위해 총평균 성적이 충족해야 하는 최소 기준은?
(A) 1.60
(B) 1.70
(C) 2.00
(D) 2.50",(B),(B) 1.70,B,True
"QUESTION18)수업의 결석이 출석으로 인정될 수 있는 사유가 아닌 것은?
(A) 중대한 질병
(B) 직계존비속의 사망
(C) 국제 대회 참가
(D) 개인 사정",(D),(D) 개인 사정입니다.,D,True
"QUESTION19)조기 졸업을 위한 총 평균 성적 기준은?
(A) 2.50
(B) 3.00
(C) 3.50
(D) 3.75",(D),(D) 3.75.,D,True
"QUESTION20) 재학 연한 초과로 제적당하지 않는 경우는?
(A) 학사 편입
(B) 복수 전공 중
(C) 재입학 후 1년 이내
(D) 휴학 중",(D),"(D) 휴학 중입니다.

해당 사안은 문맥에서 다음과 같은 내용으로 설명됩니다:

제26조(휴학) ⑥ 재학 중인 자가 휴학을 하고자 하는 경우 학기개시일로부터 90일 이내에 휴학을 신청하여야 한다. (신설 2015.9.18.)

휴학 기간은 재학 연한에 산입되지 않으므로, 휴학 중인 동안에는 재학 연한 초과로 제적되지 않습니다.",D,True
"QUESTION21) 졸업이 취소될 수 있는 상황은?
(A) 논문 미제출
(B) 부정한 방법으로 졸업 인정
(C) 성적 저조
(D) 졸업 요건 충족 못함",(B),(B) 부정행위로 졸업 인정,B,True
"QUESTION22) 교양과목을 제외한 전공과목의 분류는 무엇입니까?
(A) 필수/선택
(B) 정규/특별
(C) 일반/고급
(D) 학점 기준",(A),(A) 필수/선택.,A,True
"QUESTION23) 다음중 옳게 짝지어진 학위를 고르세요.
(A) 북한 학과 - 이학사
(B) 기업가정신 - 벤처학사
(C) 미술학사 - 한국음악
(D) 문학사 - 소비자학",(D),"(D) 문학사.

문맥에서 ""문학사""는 소비자학 전공과 함께 언급되어 있습니다. 따라서, 정답은 (D)입니다.",D,True
"QUESTION24) 다음 중 이화여자대학교 학칙에서 학점과 관련해 옳은 것을 고르세요
(A) 교과과정이수 단위는 학기로 한다.
(B) 한 학기동안 10시간 이상 수업을 들으면 1학점을 준다.
(C) 학점취득특별시험의 방법은 총장과 위원회가 함께 정한다.
(D) 제35조는 1999년 2월에 개정되었다.",(D),(D) 제35조는 1999년 2월에 개정되었다.,D,True
"QUESTION25) 2019학년도 입학 정원에 대한 내용으로 옳은 것을 고르시오.
(A) 휴먼기계바이오공학부 입학 정원과 무용과의 입학 정원의 합은 149명이다.
(B) 건반악기과의 입학정원은 164명이다.
(C) 수학교육과와 국어 교육과의 입학 정원은 각각 37명과 27명이다.
(D) 음악 대학의 학생수는 자연과학대학의 학생수보다 많다.",(B),"(A) 휴먼기계바이오공학부 입학 정원과 무용과의 입학 정원의 합은 149명이다.

해당 질문과 관련된 내용은 다음과 같습니다:

휴먼기계바이오공학부: 110 + 105 = 215명
무용과: 38명
합계: 215 + 38 = 253명

따라서, (A)는 옳지 않습니다.",A,False
"QUESTION26) QUESTION 6) A psychologist is asked to see a 10-year-old child for counseling in a school setting. Which of the following statements describes the best way for the psychologist to meet the prescribed ethical responsibility
(A) ""The parent(s) provide(s) written consent and the psychologist obtains the child's assent non-verbally""
(B) ""Both the parent(s) and the child provide written consent to therapy for the child""
(C) ""The child provides written and verbal consent to therapy""
(D) ""The parent(s) provide(s) written consent and the child assents verbally to participate in therapy""
(E) ""The psychologist obtains written consent from both the school administration and the parent(s)""
(F) ""The school administration provides written consent and the child assents verbally to participate in therapy""
(G) ""The parent(s) provide(s) written and verbal consent to therapy for the child""
(H) ""The parent(s) provide(s) verbal consent and the child provides written consent to participate in therapy""
(I) ""The child provides verbal assent to participate in therapy""
(J) ""The psychologist obtains verbal consent from the school administration"" ]",(D),"(A) ""The parent(s) provide(s) written consent and the psychologist obtains the child's assent non-verbally""",A,False
"QUESTION27) A man is at home in his apartment, alone, late at night. Someone repeatedly buzzes his apartment ringer outside the building, but he doesn't answer it because he is very tired and wants to sleep. Later he hears the door to his apartment being kicked in and he is immediately accosted by a man with a gun, who waves the gun at him and says, ""You are getting me your cash or else."" The man opens his safe and turns over the money. The perpetrator absconds with the money but is picked up by the police a few minutes later. What common law crimes has the perpetrator probably committed?
(A) ""Robbery and burglary.""
(B) ""Robbery, burglary and attempted murder."" 
(C) ""Burglary, robbery, and trespassing.""
(D) ""Aggravated assault and robbery.""
(E) ""Attempted murder and trespassing.""
(F) ""Burglary and attempted murder.""
(G) ""Robbery and attempted murder.""
(H) ""Robbery and assault.""
(I) ""Trespassing and armed robbery.""",(A),"(G) ""Robbery and attempted murder.""

The perpetrator has committed the crimes of robbery and attempted murder. The actions of the perpetrator, such as breaking into the apartment, threatening the victim with a gun, and demanding money, are consistent with the crime of robbery. Additionally, the perpetrator's actions of breaking into the apartment and threatening the victim with a gun can be considered as attempted murder, as they show an intent to cause serious bodily harm or death to the victim.",G,False
"QUESTION28) What do Homo sapiens and Australopithecus afarensis have in common?
(A) ""a shared ability to use complex tools""
(B) ""a similar diet""
(C) ""a reliance on brachiation""
(D) ""an identical social structure""
(E) ""a mode of locomotion""
(F) ""the same lifespan""
(G) ""the same geographical distribution""
(H) ""a lack of sexual dimorphism""
(I) ""the same language capability""
(J) ""all the above""",(E),"(A) ""a shared ability to use complex tools""

Hom",A,False
"QUESTION29)This question refers to the following information.
 I walk alongside the column, ask what's going on.
 A soldier says simply: ""They call up more every day.
 ""Some of us were sent north to the Yellow River at age fifteen,
 And now at forty we're heading off to the garrisons in the west.
 On our first tour, the village headman had to tie our bandannas for us.
 When we came back, our hair was white, but still there's more unrest.
 The frontier garrisons run with blood, enough to fill an ocean,
 But the Martial Emperor's territorial ambitions have yet to crest.
 In the hundred districts east of the mountains, throughout the land of Han,
 There must be ten thousand villages that brambles now infest.
 Even if wives are strong enough to handle a hoe and plow,
 The crops grow every which way, the fields are all a mess.
 It's hardest for the Shanxi men, with their reputations as fighters:
 They're rounded up like dogs or chickens, every male impressed.
 ""But sir, though it's good of you to ask,
 Complaining isn't part of the soldier's task.
 We can only shake our heads. Take this winter:
 The Shanxi troops were never sent home.
 The District Officers are demanding the land tax,
 But where will it come from? You can't get blood from a stone!
 I honestly think it's bad luck to bear a son now,
 It's better to have a daughter: at least she can marry
 And live with the neighbors next door.
 But a son will end up lying on some distant prairie.""
 Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
 Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?
 (A) The establishment of a network of spies and informants among the nomadic tribes
 (B) Adroit diplomacy and establishment of client relationships with bordering nomads
 (C) The payment of tribute to nomadic rulers
 (D) The forced relocation of frontier peoples to central China
 (E) The use of economic incentives to secure the loyalty of nomadic rulers
 (F) The negotiation of peace treaties with nomadic rulers
 (G) The dissemination of Chinese culture and traditions among frontier peoples
 (H) The permanent settlement of Han Chinese in frontier zones
 (I) The ability of the Tang emperor to project military power on the frontier in order to impose his will",(I),(B) 능란한 외교와 국경지대 유목민들과의 종속 관계 수립.,B,False
"QUESTION30)Homo erectus differed from Homo habilis in which way?
 (A) Erectus was not bipedal.
 (B) Erectus was not capable of using tools.
 (C) Erectus was primarily herbivorous.
 (D) Erectus fossils are found only in Africa.
 (E) Erectus possessed a larger brain.
 (F) Erectus was a relatively short-lived species.
 (G) Erectus had smaller body size.
 (H) Erectus fossils are found only in Europe.
 (I) Erectus possessed a smaller brain.
 (J) Erectus had shorter lifespan.",(E),"(E) Erectus possessed a larger brain.

The context provided does not give a direct answer to this question, but based on the available information, it can be inferred that Homo erectus possessed a larger brain than Homo habilis. This is a widely accepted fact in the scientific community.",E,True
"QUESTION31)During the manic phase of a bipolar disorder, individuals are most likely to experience
 (A) extreme fatigue
 (B) high self-esteem
 (C) memory loss
 (D) intense fear and anxiety
 (E) uncontrollable grief and despair
 (F) visual hallucinations
 (G) delusions of persecution",(B),(B) 높은 자존감.,B,True
"QUESTION32) This question refers to the following information: For the catastrophe of 1914 the Germans are responsible. … Germany, in this matter, was unfortunate enough to allow herself (in spite of her skill at dissimulation) to be betrayed into an excess of candour by her characteristic tendency to go to extremes. Deutschland über alles. Germany above everything! … There you have the ultimate framework of an old but childish race. Georges Clemenceau, Grandeur and Misery of Victory, 1930. From the passage, one may infer that Clemenceau believed:  (A) that Germany's skill at dissimulation was responsible for its victory in the war  (B) that the reason Germany lost the war was that it was betrayed from within  (C) that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were evidence of Germany's aggressive attitude  (D) that Germany's misfortune in the war was due to its lack of skill in dissimulation  (E) that the lyrics from the popular song Deutschland über alles (which eventually became the German national anthem) were the reason Germany started the war  (F) that Germany provided the ultimate framework for modern warfare  (G) that Germany's excessive candour led to its downfall in the war",(C),(C),C,True
"QUESTION33) You receive a phone call from Hermann H., age 28, who says he is “totally miserable” because of the recent breakup with his girlfriend and that he would like to begin therapy with you. During the first session with Hermann, you find out that his political views are completely repugnant to you, and you feel that you would not enjoy working with him. As an ethical psychologist, you should:
(A) Discuss your discomfort with Hermann's political views in the first session.
(B) Ignore your personal feelings and continue therapy without discussing the difference in political views.
(C) discuss the difference in political views with Hermann only if they become relevant to the psychotherapy process.
(D) Suggest Hermann to find a psychologist who shares his political views.
(E) Decline Hermann's request for therapy because of the difference in political views.
(F) see Hermann in therapy until his current crisis is over and then make a referral if necessary.
(G) Tell Hermann outright that his political views are repugnant and continue the therapy.
(H) Offer to treat Hermann only if he changes his political views.
(I) provide Hermann with appropriate referrals.",(I),(B) 개인적인 감정을 무시하고 정치적 견해의 차이를 논의하지 않고 치료를 계속합니다.,B,False
"QUESTION34) During the second stage of Kohlberg’s preconventional level of moral development, children obey rules because:
(A) they are taught that rules are unbreakable.
(B) they enjoy following the rules.
(C) they are rewarded for following rules.
(D) they feel they have a personal duty to uphold rules and laws.
(E) doing so helps them satisfy their personal needs.
(F) they understand the concept of fairness and justice.
(G) doing so helps them avoid punishment.
(H) '''everyone else is doing it.'''
(I) they believe in the inherent goodness of rules.
(J) they fear societal disapproval.",(E),(G) 그들은 벌을 피하기 위해 그렇게 합니다.,G,False
"QUESTION35)  In satisfying Kant's Humanity formulation of the categorical imperative, we are obligated to adopt two very general goals: the goal of promoting the (morally permissible) ends of others and the goal of
(A) increasing social status.
(B) self-perfection.
(C) achieving inner peace.
(D) achieving personal goals.
(E) promoting social harmony.
(F) self-sacrifice.
(G) maximizing personal benefits.
(H) producing happiness.
(I) attaining moral superiority.",(B),(E) 사회적 조화를 촉진하는 것.,E,False
"QUESTION36) Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form:
(A) would remain preserved in the memories of the remaining species.
(B) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things.
(C) would evolve into a different form or essence.
(D) would be destroyed only if the species was eliminated by unnatural causes.
(E) would be absorbed by another species.
(F) would transform into the essence of another existing species.
(G) would be destroyed only if there were no one around to remember the species.
(H) would exist as long as there are traces or remnants of the species left in the world.
(I) would continue existing (as with Plato's Forms) in some other realm of being.
(J) would likewise be destroyed.",(J),"(B) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things.",B,False
"QUESTION37) The ________ School of jurisprudence believes that the law is an aggregate of social traditions and customs that have developed over the centuries.
(A) Command
(B) Sociological
(C) Historical
(D) Interpretive
(E) Analytical
(F) Natural
(G) Functional
(H) Positivist
(I) Realist
(J) Pragmatic",(C),"(B) 사회과학대학

이유: 문맥에서 1995학년도 이전에 가정과학대학에 입학한 학생들은 1999학년도 이후에는 생활환경대학에 재적하고 있다고 명시되어 있으므로, 2002학년도에 가정과학대학에 재적 중인 민경 학생은 생활환경대학에 재적 처리됩니다.",B,False
"QUESTION38) A woman was standing in the aisle of a subway car and put her purse on the seat next to her. A man approached the woman from behind and grabbed the purse off the seat. He then pushed the woman out of the way and ran out of the subway car while carrying the purse. The man was apprehended on the subway platform while in possession of the purse. In a jurisdiction that follows the common law with respect to criminal offenses, of what crime can the man properly be convicted?

(A) Fraud, because he took the purse without the woman's consent.
(B) Larceny, because he took the purse without the woman's permission.
(C) Burglary, because he entered the subway car with the intention of committing a theft.
(D) Robbery, because he used force in leaving with the purse.
(E) Robbery, because he used force to take possession of the purse.
(F) Robbery, because he used force to remove the woman from the purse's vicinity.
(G) Larceny, because force was not used until after he took the purse.
(H) Assault, because he pushed the woman out of the way.
(I) Larceny, because he made no threat to use force.
(J) Robbery, because he physically took the purse from the woman's presence.",(D),"(D) Robbery, because he used force to take possession of the purse.

Based on the context provided, the man can be convicted of robbery because he used force to take possession of the purse. This is supported by the clause in option (E): ""Robbery, because he used force to take possession of the purse.""",D,True
"QUESTION39) A defendant met her friend at the electronics store where the friend worked. Unbeknownst to the defendant, her friend had taken a music player from the display case and stuffed it in her bag earlier in the day. Knowing that employees are subject to search when they leave the store, the friend surreptitiously put the music player into the defendant's bag. The defendant and her friend proceeded to a local tavern and drank shots of tequila. The friend became intoxicated and forgot to retrieve the stolen music player from the defendant's bag. After leaving the tavern, the defendant proceeded home. Upon opening her bag, she was surprised to see the music player. Believing that the music player had accidentally fallen into her bag at the bar, the defendant planned to return it the next day. The following day, however, the defendant changed her mind and decided to keep it. The defendant is guilty of:

(A) larceny.
(B) possession of stolen property.
(C) burglary.
(D) receiving stolen property.
(E) theft.
(F) robbery.
(G) neither receiving stolen property nor larceny.
(H) receiving stolen property and larceny.
(I) conspiracy to commit theft.
(J) aiding and abetting theft.",(G),"(B) 도난된 재산 소지.

문맥에서 제공된 정보에 따르면, 피고인은 친구가 쇼핑몰에서 훔친 음악 플레이어를 모르고 가방에 넣었습니다. 피고인은 다음 날 음악 플레이어를 돌려주려고 했지만, 마음을 바꾸고 가지고 있기로 결정했습니다. 이는 피고인이 도난된 재산을 소지한 것을 의미합니다.

따라서, 정답은 (B) 도난된 재산 소지입니다.",B,False
"QUESTION40)____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.
 (A) Greenwashing (B) Eco-branding (C) Recycle and reprocess management (D) Sustainable Development (E) Environmental Stewardship (F) Superfund reauthorization (G) Eco-strategy (H) Environmental Impact Assessment (I) Green Marketing (J) Eco-efficient Operations",(I),"(G) Eco-strategy.

맥락에서 ""생태전략""이라는 용어가 언급되지 않았지만, 주어진 질문과 선택지를 기반으로 가장 적합한 답변은 생태전략입니다.",G,False
"QUESTION41)This question refers to the following information. Seizing me, he led me down to the House of Darkness… To the house where those who enter do not come out, Along the road of no return, To the house where those who dwell, do without light, Where dirt is their drink, their food is of clay… Where light cannot be seen. They dwell in the dark, And upon the door and bolt, there lies dust. from Tablet VII, The Epic of Gilgamesh, Sumeria, ca. 2100 B.C.E.

Truth is good and its worth is lasting. It has not been disturbed since the day of its creator, Whereas he who transgresses its ordinances is punished. It lies as a path in front of even him who knows nothing. Wrongdoing has never yet brought its venture to port… Those whom the gods guide cannot lose themselves. Those to whom they forbid passage will not be able to cross the river of life. from The Maxims of Ptahhotep, Egypt, ca. 2400 B.C.E.

The above texts are best understood in the context of which of the following?

(A) ""The use of religion to enforce legal norms""
(B) ""The use of religion to dictate artistic expressions""
(C) ""The use of religion to justify gender relations""
(D) ""The use of religion to structure economic transactions""
(E) ""The use of religion to ponder conceptions of the afterlife""
(F) ""The use of religion to explain social hierarchy""
(G) ""The use of religion to legitimize political power""
(H) ""The use of religion to establish educational systems""
(I) ""The use of religion to justify military conquests""",(E),"(E) ""The use of religion to ponder conceptions of the afterlife"".",E,True
"QUESTION42) Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?
(A) Foreign judgments are enforced on the basis of the doctrine of monism
(B) Foreign judgments are enforced on the basis of the doctrine of dualism
(C) Foreign judgments are enforced on the basis of the doctrine of incorporation
(D) The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties
(E) The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of reciprocity
(F) Foreign judgments are automatically recognized and enforced without any additional process.
(G) Foreign judgments are enforced on the basis of the doctrine of transformation",(D),(A) 외국 판결은 단일주의 원칙에 따라 강제된다.,A,False
"QUESTION43) Some contemporary intelligence researchers like Howard Gardner and Robert Sternberg complain that schools focus too much on
(A) nonessential subjects like art and music.
(B) fostering collaborative learning environments.
(C) traditional subjects and methods.
(D) promoting physical education and sports.
(E) cultivating social intelligence.
(F) the development of emotional intelligence.
(G) individual learning styles and preferences.
(H) encouraging creative thought.
(I) the use of technology in education.
(J) the environmental factors that influence the expression of intelligence.",(C),"(C) 전통적인 과목과 방법에 너무 집중한다.

문맥에서 사범대학에는 교육학과, 유아교육과, 초등교육과, 교육공학과, 특수교육과, 영어교육과, 사회과교육과, 국어교육과, 과학교육과, 수학교육과가 있으며, 의과대학에는 의예과와 의학과가 있습니다. 이는 전통적인 과목과 방법에 초점을 맞추고 있다는 것을 보여줍니다.",C,True
"QUESTION44) BobGafneyand Susan Medina invested $40,000 and $50,000 respectively in a luncheonette. Since Mr.Gafneyis the manager of the luncheonette, he gets 4% of the net income. Each partner receives 6% interest on his or her investment. Any remaining net income is divided equally. If the net income for any year is $28,600, how is it divided?
(A) Mr. Gafney's income is $12,600 and Ms. Medina's income is $16,000
(B) Mr. Gafney's income is $14,000 and Ms. Medina's income is $14,600
(C) Mr.Gafney's income is $14,572 and Ms. Medina's income is $15,028
(D) Mr.Gafney's income is $15,572 and Ms. Medina's income is $13,028
(E) Mr. Gafney's income is $16,000 and Ms. Medina's income is $12,600
(F) Mr.Gafney's income is $14,572 and Ms. Medina's income is $14,028
(G) Mr. Gafney's income is $15,300 and Ms. Medina's income is $13,300
(H) Mr. Gafney's income is $13,300 and Ms. Medina's income is $15,300
(I) Mr. Gafney's income is $14,600 and Ms. Medina's income is $14,000
(J) Mr.Gafney's income is $13,572 and Ms. Medina's income is $15,028",(F),"(I) Mr. Gafney's income is $14,600 and Ms. Medina's income is $14,000",I,False
"QUESTION45) One objection to Singer’s theory that he considers is that it:
(A) inappropriately makes proximity morally important.
(B) fails to consider the cultural differences in moral norms.
(C) overlooks the role of government and institutions in addressing suffering.
(D) does not do enough to address suffering in other countries besides our own.
(E) does not account for the fact that we have stricter obligations to our loved ones than to strangers.
(F) does not address the issue of moral obligations to non-human animals.
(G) ignores the importance of self-interest in human behavior.
(H) assumes that all individuals have the same capacity to alleviate suffering.
(I) does not provide a clear definition of what constitutes suffering.
(J) requires too drastic a revision to our moral scheme.",(J),(A) 근접성을 부적절하게 도덕적으로 중요시한다.,A,False
"QUESTION46) In 1797, John Frere made a discovery that he described as:
(A) a new type of metal alloy.
(B) the earliest written documents.
(C) the remains of a massive wooden ship believed to be Noah's Ark.
(D) animal remains scattered on the surface of the ground.
(E) the ruins of an ancient civilization under the sea.
(F) fossils of a previously unknown dinosaur species.
(G) cave paintings depicting ancient hunting scenes.
(H) human skulls with ape-like features.
(I) primitive stone tools excavated at great depth.
(J) a hidden underground city.",(I),(I) primitive stone tools excavated at great depth.,I,True
"QUESTION47) Pick the correct description of the following term: Utilitarianism is…
(A) A theory which states that an action is morally right if it promotes the greatest good for the decision maker
(B) A theory which states that an action is morally right if it results in a balanced distribution of good and bad outcomes
(C) A theory which states that an action is morally right if it promotes the greatest good for the fewest people
(D) A theory which states that an action is morally right if it promotes the least harm for the greatest number
(E) A theory which states that an action is morally wrong if it promotes the greatest good for the majority
(F) A theory which states that an action is morally incorrect if it promotes the greatest good for the greatest number
(G) A theory which states that an action is morally right if it promotes the greatest good for the greatest number
(H) A theory which states that an action is morally right if it promotes the greatest harm for the smallest number
(I) A theory which states that an action is morally right if it promotes the greatest good for the individual performing the action
(J) A theory which states that an action is morally right if it promotes the greatest good for the smallest number",(G),"(G) A theory which states that an action is morally right if it promotes the greatest good for the greatest number.

Based on the context provided, the correct answer is (G) A theory which states that an action is morally right if it promotes the greatest good for the greatest number. This is in line with the definition of utilitarianism as a moral philosophy that emphasizes the greatest good for the greatest number of people.",A,False
"QUESTION48) Which of the following describes a key change in hominids beginning at least as early as Homo erectus that is probably related to increasingly larger brain size?
(A) cranial reduction
(B) decreased dentition
(C) microcephaly
(D) supraorbital cortex
(E) encephalization
(F) opposable thumbs
(G) prognathism
(H) neoteny
(I) bipedalism
(J) increased body size",(H),(E) encephalization.,E,False
